T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
1,2,1,0.3039,0.7688,8.5802,9.6529,0.215752,98.37,1.5626
1,2,2,0.3037,0.7618,8.5936,9.659,0.057299,98.49,1.5683
1,2,3,0.3046,0.7699,8.5758,9.6503,0.038432,98.73,1.5626
1,2,4,0.3036,0.7645,8.5983,9.6664,0.028888,98.85,1.5628
1,2,5,0.3031,0.7646,8.5893,9.657,0.023283,99.09,1.5708
1,2,6,0.3046,0.7746,8.5789,9.6582,0.016659,98.95,1.565
1,2,7,0.3032,0.7652,8.6022,9.6706,0.015321,98.98,1.5611
1,2,8,0.3035,0.7679,8.5794,9.6508,0.013183,99.08,1.5638
1,2,9,0.3025,0.7697,8.5816,9.6538,0.011842,99.06,1.5653
1,2,10,0.303,0.7695,8.5834,9.6559,0.008729,99.02,1.5625
