T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
1,1,1,0.3759,1.0503,8.538,9.9642,0.220266,98.34,1.6167
1,1,2,0.3029,0.7704,8.5507,9.6239,0.051895,98.72,1.5637
1,1,3,0.3031,0.7667,8.5828,9.6526,0.035594,98.86,1.5628
1,1,4,0.3038,0.7645,8.5874,9.6557,0.026696,98.92,1.566
1,1,5,0.3035,0.7694,8.5776,9.6505,0.020952,98.83,1.566
1,1,6,0.3026,0.7641,8.5788,9.6455,0.018009,98.89,1.5615
1,1,7,0.302,0.7628,8.6066,9.6713,0.013996,99.06,1.5679
1,1,8,0.3027,0.7629,8.5868,9.6524,0.011006,98.87,1.5629
1,1,9,0.3047,0.7634,8.5821,9.6501,0.010313,99.15,1.5623
1,1,10,0.3028,0.7694,8.5841,9.6562,0.009474,98.98,1.5572
