T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,2,1,24.4655,52.9912,2.1176,79.5743,106.900183,91.03,2.2154
64,2,2,25.0358,52.9892,1.223,79.248,65.768327,93.7,2.2158
64,2,3,25.1561,52.9925,1.1396,79.2882,52.881345,94.92,2.2132
64,2,4,24.641,52.9667,1.7902,79.3979,38.776973,95.76,2.2197
64,2,5,23.5651,52.9861,3.2923,79.8435,27.540125,96.33,2.2085
64,2,6,24.7941,52.9856,1.7282,79.5079,21.797462,96.77,2.2122
64,2,7,24.7277,52.9901,1.6678,79.3855,18.348023,97.2,2.2101
64,2,8,24.9191,52.9975,1.5673,79.4839,16.144003,97.24,2.2175
64,2,9,24.8952,52.999,1.4105,79.3048,14.463465,97.36,2.2066
64,2,10,25.0309,52.9848,1.3755,79.3912,13.209647,97.43,2.2084
