T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,1,1,24.0283,52.943,2.7681,79.7394,109.624641,90.99,2.2021
64,1,2,24.7611,52.9345,1.7622,79.4578,66.241051,93.56,2.2112
64,1,3,23.9753,52.9333,2.719,79.6276,53.855343,94.7,2.2067
64,1,4,24.3819,52.8556,2.0119,79.2493,42.100039,95.58,2.2056
64,1,5,24.4516,52.953,1.9057,79.3103,30.184191,96.26,2.2116
64,1,6,23.9183,52.904,2.6805,79.5028,22.859641,96.69,2.2105
64,1,7,24.6526,52.9309,1.9421,79.5256,18.991174,97.04,2.2116
64,1,8,24.1912,52.9614,2.4417,79.5943,16.547413,97.36,2.2088
64,1,9,24.6126,52.9493,1.8991,79.461,14.888401,97.4,2.2128
64,1,10,24.2867,52.966,2.3272,79.5799,13.553937,97.76,2.2093
