T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,1,1,4.1682,5.4738,4.7857,14.4277,16.605612,83.94,3.9159
8,1,2,4.1773,5.5934,4.7336,14.5043,7.105603,94.04,1.7199
8,1,3,4.2219,5.6092,4.6735,14.5046,4.254892,95.49,1.7082
8,1,4,4.2148,5.5547,4.7526,14.5222,2.835039,96.19,1.7067
8,1,5,4.1631,5.5043,4.852,14.5193,2.181607,96.83,1.7131
8,1,6,4.2853,5.6117,4.6086,14.5056,1.814727,97.09,1.7115
8,1,7,4.1778,5.539,4.7789,14.4958,1.574972,97.48,1.7143
8,1,8,4.2044,5.472,4.8276,14.504,1.405074,97.61,1.7134
8,1,9,4.1938,5.4853,4.8418,14.521,1.27151,97.73,1.7118
8,1,10,4.1515,5.5529,4.8011,14.5055,1.174347,97.9,1.7133
