T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,3,1,2.2988,3.0261,6.8642,12.1891,9.207281,11.35,1.6778
4,3,2,2.3028,3.0624,6.8834,12.2485,6.025297,89.47,1.6816
4,3,3,2.3146,3.0359,6.8919,12.2424,2.179971,93.72,1.682
4,3,4,2.3145,3.0583,6.854,12.2268,1.377953,94.65,1.6797
4,3,5,2.2909,3.0195,6.875,12.1855,1.065528,95.88,1.6764
4,3,6,2.2897,3.0527,6.8788,12.2212,0.882273,96.63,1.6808
4,3,7,2.312,3.0232,6.8925,12.2277,0.767782,96.81,1.684
4,3,8,2.3008,3.0242,6.8987,12.2237,0.682952,97.15,1.6826
4,3,9,2.3023,2.997,6.956,12.2552,0.625537,97.3,1.6708
4,3,10,2.2965,3.0133,6.8876,12.1973,0.580141,97.42,1.6734
