T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,2,1,7.9897,10.6302,0.5375,19.1573,29.561602,90.2,1.7839
16,2,2,8.0444,10.584,0.5596,19.1879,14.060833,94.0,1.7863
16,2,3,8.0799,10.6026,0.5265,19.209,9.410499,95.46,1.7839
16,2,4,8.0845,10.5808,0.4874,19.1527,6.554319,96.06,1.7899
16,2,5,8.0984,10.5893,0.5433,19.231,4.727255,96.74,1.7813
16,2,6,8.0646,10.6192,0.5289,19.2127,3.808394,97.3,1.7871
16,2,7,8.0574,10.6025,0.6092,19.2691,3.290127,97.29,1.7892
16,2,8,8.0361,10.6335,0.5324,19.202,2.952797,97.52,1.788
16,2,9,8.0418,10.7315,0.4556,19.229,2.686027,97.88,1.7886
16,2,10,8.0635,10.7054,0.4691,19.238,2.480554,97.94,1.7868
