T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,2,1,2.3149,3.0234,6.9273,12.2656,9.206596,11.35,1.6757
4,2,2,2.2843,2.9919,6.8945,12.1706,6.483242,89.97,1.6714
4,2,3,2.311,3.0518,6.8181,12.1809,2.190312,94.02,1.6644
4,2,4,2.2861,3.0325,6.8524,12.1711,1.383441,95.29,1.6857
4,2,5,2.3064,3.0499,6.8767,12.233,1.08739,96.0,1.6779
4,2,6,2.2927,3.0196,6.9148,12.2271,0.918162,96.12,1.6784
4,2,7,2.309,3.0319,6.9103,12.2512,0.804991,96.75,1.6796
4,2,8,2.3175,3.0505,6.848,12.216,0.717004,96.96,1.6867
4,2,9,2.3057,3.0331,6.8869,12.2258,0.649842,97.31,1.6772
4,2,10,2.3216,3.0107,6.9204,12.2527,0.59924,97.25,1.6861
