T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,2,1,14.7372,19.2839,2.1057,36.1268,55.649009,90.43,1.9303
32,2,2,14.6046,19.3354,2.0875,36.0274,33.187702,93.42,1.9367
32,2,3,14.5986,19.3094,2.1166,36.0246,26.835464,94.53,1.9349
32,2,4,14.6226,19.3384,2.0724,36.0335,20.063436,95.64,1.9244
32,2,5,14.6221,19.3585,2.0288,36.0095,14.820446,96.3,1.9339
32,2,6,14.5858,19.3958,1.9932,35.9748,11.251179,96.85,1.9363
32,2,7,14.5695,19.2669,2.2257,36.0621,9.072196,96.91,1.9357
32,2,8,14.5824,19.2312,2.2671,36.0807,7.703538,97.44,1.9309
32,2,9,14.5966,19.2769,2.174,36.0475,6.735733,97.54,1.9297
32,2,10,14.5806,19.2609,2.2336,36.0751,5.986547,97.76,1.9324
