T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,3,1,14.5464,19.3311,2.1141,35.9915,56.100155,90.49,1.928
32,3,2,14.5563,19.3696,2.0589,35.9848,31.800643,94.03,1.9276
32,3,3,14.581,19.2313,2.2237,36.0361,24.175134,95.42,1.9296
32,3,4,14.6046,19.4775,1.8101,35.8922,17.233046,96.19,1.9289
32,3,5,14.596,19.2156,2.2444,36.0561,13.093001,96.54,1.9373
32,3,6,14.5985,19.2506,2.1858,36.035,10.325035,97.08,1.9315
32,3,7,14.6289,19.1851,2.2268,36.0408,8.491826,97.26,1.92
32,3,8,14.6437,19.2857,2.0485,35.9779,7.218046,97.42,1.9282
32,3,9,14.6305,19.2157,2.212,36.0582,6.291143,97.59,1.9202
32,3,10,14.598,19.2721,2.1688,36.0389,5.669103,97.85,1.9268
