T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,3,1,24.7739,53.0241,1.5307,79.3286,108.155326,90.61,2.2065
64,3,2,25.1189,53.0204,1.2836,79.4229,67.151621,93.59,2.2162
64,3,3,23.9964,53.0081,2.6791,79.6837,56.218695,94.13,2.2106
64,3,4,24.7676,53.0149,1.6746,79.4571,43.144433,95.16,2.2048
64,3,5,24.4659,53.0307,1.9737,79.4703,30.688299,96.02,2.2097
64,3,6,24.4473,53.0242,2.0047,79.4762,23.579713,96.53,2.2144
64,3,7,24.8065,53.0197,1.6885,79.5147,19.559208,96.89,2.2114
64,3,8,24.8846,53.022,1.427,79.3336,16.688447,97.09,2.215
64,3,9,24.9174,53.0234,1.5561,79.4969,14.521734,97.39,2.2161
64,3,10,24.4183,53.0314,2.0726,79.5224,13.037079,97.38,2.2129
