T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,3,1,4.1909,5.5608,4.7549,14.5065,16.702987,85.41,1.724
8,3,2,4.1876,5.4242,4.9118,14.5236,7.247754,92.55,1.7157
8,3,3,4.1538,5.5445,4.833,14.5314,4.328998,94.2,1.7591
8,3,4,4.2954,5.493,4.7357,14.5241,3.019632,95.37,1.7148
8,3,5,4.2539,5.69,4.5676,14.5115,2.40139,96.11,1.7194
8,3,6,4.2761,5.5161,4.7434,14.5357,2.039103,96.49,1.7157
8,3,7,4.1843,5.4019,4.9417,14.528,1.793276,96.95,1.719
8,3,8,4.1926,5.4164,4.9212,14.5302,1.614135,97.16,1.7108
8,3,9,4.2321,5.547,4.7469,14.526,1.479506,97.59,1.7132
8,3,10,4.1694,5.446,4.9059,14.5212,1.358692,97.45,1.7162
