T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,3,1,8.0489,10.629,0.4877,19.1656,29.019748,88.45,1.7864
16,3,2,8.0202,10.7017,0.6009,19.3227,15.327536,93.2,1.787
16,3,3,8.022,10.6674,0.5918,19.2812,11.000871,95.15,1.7825
16,3,4,8.0252,10.6996,0.4934,19.2182,7.815611,95.75,1.7864
16,3,5,8.0441,10.6459,0.6428,19.3329,5.529994,96.54,1.7941
16,3,6,7.9926,10.7211,0.5069,19.2206,4.368882,96.8,1.79
16,3,7,8.0372,10.6497,0.5588,19.2457,3.667787,97.26,1.7855
16,3,8,8.0034,10.6898,0.5342,19.2274,3.226548,97.41,1.7845
16,3,9,7.9861,10.7694,0.4201,19.1755,2.887864,97.57,1.7845
16,3,10,8.0274,10.5895,0.6509,19.2677,2.662809,97.72,1.7883
