T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,1,1,7.9872,10.894,0.5,19.3812,32.071091,86.97,1.7782
16,1,2,8.0324,10.8036,0.4212,19.2572,14.530837,93.58,1.7794
16,1,3,8.0675,10.6895,0.4494,19.2064,9.589713,95.23,1.7798
16,1,4,8.0262,10.6384,0.524,19.1887,6.965433,96.11,1.7808
16,1,5,8.0523,10.6539,0.4696,19.1758,5.313607,96.69,1.7874
16,1,6,8.0013,10.6651,0.5244,19.1908,4.215551,97.01,1.7872
16,1,7,7.9804,10.7486,0.5471,19.2761,3.528856,97.41,1.7878
16,1,8,8.0431,10.7507,0.4868,19.2807,3.115523,97.5,1.7899
16,1,9,8.0076,10.5883,0.6949,19.2908,2.801726,97.73,1.7793
16,1,10,8.0203,10.657,0.5568,19.2341,2.563406,97.92,1.7829
