T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,2,1,4.2209,5.4994,4.8432,14.5636,16.530499,85.03,1.7362
8,2,2,4.1894,5.5334,4.8133,14.5361,7.352534,91.77,1.7183
8,2,3,4.3634,5.5579,4.6265,14.5478,4.802466,93.9,1.7121
8,2,4,4.2961,5.5181,4.7296,14.5437,3.213679,94.79,1.7207
8,2,5,4.2253,5.5577,4.7707,14.5536,2.530233,95.72,1.7217
8,2,6,4.2099,5.4767,4.8555,14.5421,2.154779,96.12,1.7184
8,2,7,4.2193,5.5584,4.7464,14.5241,1.911,96.5,1.7157
8,2,8,4.2264,5.5086,4.7991,14.5341,1.715098,96.81,1.7103
8,2,9,4.2112,5.6719,4.6719,14.555,1.570624,97.0,1.7156
8,2,10,4.2556,5.6397,4.6389,14.5341,1.454413,97.08,1.7198
