T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,1,1,2.6368,4.3833,6.8143,13.8344,9.207119,11.35,3.5119
4,1,2,2.2788,3.0468,6.8674,12.193,5.721789,90.59,1.6711
4,1,3,2.3152,3.0503,6.8321,12.1976,2.084489,93.93,1.6742
4,1,4,2.294,3.001,6.8964,12.1914,1.312156,95.51,1.6706
4,1,5,2.2872,3.0301,6.8722,12.1896,1.016925,96.3,1.6756
4,1,6,2.283,3.078,6.8263,12.1872,0.855998,96.65,1.6795
4,1,7,2.2883,3.0174,6.884,12.1898,0.752873,97.14,1.6709
4,1,8,2.2887,3.0354,6.8102,12.1344,0.674736,97.48,1.6787
4,1,9,2.2874,3.0237,6.8638,12.1749,0.609693,97.52,1.6647
4,1,10,2.2749,3.0081,6.8965,12.1795,0.566035,97.45,1.6794
