T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,3,1,7.9609,4.5681,2.0064,14.5354,1.448851,88.98,2.0657
4,3,2,7.689,4.7857,2.0539,14.5286,0.340877,87.8,2.0713
4,3,3,7.8122,4.5943,2.1387,14.5452,0.244437,88.64,2.0713
4,3,4,7.5243,4.8372,2.1866,14.5481,0.179765,90.47,2.0716
4,3,5,7.8999,4.7409,1.8952,14.536,0.14847,90.44,2.0607
4,3,6,7.5057,4.657,2.3754,14.5381,0.121582,90.8,2.0732
4,3,7,7.633,4.6737,2.2267,14.5334,0.109859,91.67,2.0754
4,3,8,7.8017,4.6499,2.0952,14.5468,0.08869,90.64,2.0664
4,3,9,7.6731,4.7285,2.1074,14.5091,0.077882,91.48,2.0688
4,3,10,7.8006,4.6691,2.0606,14.5303,0.063541,91.75,2.0665
