T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,3,1,12.0654,7.1273,0.5026,19.6952,4.269655,91.62,2.5459
8,3,2,12.049,7.0338,0.6472,19.7301,2.020342,94.5,2.5456
8,3,3,12.0487,7.1082,0.5564,19.7133,0.787707,92.88,2.5441
8,3,4,12.0689,7.082,0.5491,19.7,0.574288,91.41,2.5421
8,3,5,12.0913,7.1303,0.4384,19.66,0.439678,93.9,2.5487
8,3,6,12.0846,7.1425,0.4786,19.7057,0.359702,94.25,2.5352
8,3,7,12.0306,7.1468,0.4782,19.6557,0.293313,91.93,2.5447
8,3,8,12.0583,7.0906,0.5395,19.6884,0.22913,92.87,2.5429
8,3,9,12.094,7.1307,0.4675,19.6921,0.234992,90.74,2.5463
8,3,10,12.0512,7.1268,0.4783,19.6564,0.239288,90.12,2.5419
