T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,1,1,69.3796,35.2072,0.4748,105.0616,23.534976,92.12,10.4555
64,1,2,69.4578,35.1835,0.4254,105.0666,10.596552,91.44,10.4486
64,1,3,69.4679,35.1565,0.3946,105.019,8.900676,93.54,10.4597
64,1,4,69.4463,35.1777,0.337,104.961,7.898162,95.4,10.4598
64,1,5,69.5005,35.1717,0.3891,105.0613,7.095557,95.19,10.4666
64,1,6,69.2457,35.1839,0.6297,105.0593,6.431523,94.3,10.4669
64,1,7,69.3971,35.2233,0.4243,105.0447,5.885316,92.94,10.4677
64,1,8,69.4475,35.1583,0.3497,104.9554,5.542007,97.76,10.4459
64,1,9,69.3563,35.1701,0.4062,104.9326,5.304926,97.76,10.4673
64,1,10,69.4721,35.2019,0.3288,105.0028,4.749926,96.39,10.4562
