T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,1,1,21.825,8.8736,1.0963,31.7949,8.253207,92.25,3.5447
16,1,2,21.576,8.8847,1.5995,32.0602,4.817134,94.31,3.5355
16,1,3,21.7659,8.8805,1.3005,31.9469,3.900787,96.66,3.5358
16,1,4,21.3707,8.8706,1.939,32.1803,3.345206,94.16,3.5455
16,1,5,21.4113,8.8771,1.9344,32.2227,3.01971,96.15,3.5403
16,1,6,22.0041,8.8736,0.8787,31.7564,2.894341,96.71,3.5437
16,1,7,21.9054,8.8897,1.0855,31.8806,2.782112,95.97,3.5421
16,1,8,21.8325,8.8688,1.1844,31.8857,2.665635,96.24,3.5397
16,1,9,21.5352,8.8734,1.6974,32.106,2.666904,96.16,3.5414
16,1,10,21.5708,8.8758,1.5899,32.0365,2.295308,94.89,3.5377
