T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,3,1,69.54,35.1768,0.4184,105.1352,23.296702,94.48,10.4831
64,3,2,69.4549,35.1287,0.4401,105.0237,11.108349,96.19,10.4695
64,3,3,69.52,35.1194,0.4012,105.0405,9.351119,93.89,10.445
64,3,4,69.4736,35.1955,0.4933,105.1625,8.132151,92.69,10.4573
64,3,5,69.4514,35.1346,0.3607,104.9467,7.372195,93.88,10.4632
64,3,6,69.497,35.1795,0.4034,105.0799,6.767153,95.26,10.4504
64,3,7,69.53,35.2057,0.3689,105.1046,6.262298,96.08,10.4539
64,3,8,69.6885,35.1844,0.3796,105.2525,5.858196,93.56,10.448
64,3,9,69.2796,35.2246,0.7355,105.2396,5.159035,95.98,10.44
64,3,10,69.421,35.1565,0.6886,105.2661,5.125151,96.5,10.4484
