T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,1,1,7.8778,4.9352,2.0283,14.8414,1.427151,77.48,2.1065
4,1,2,7.7123,4.9559,1.8327,14.5008,0.311897,81.45,2.0729
4,1,3,7.6398,4.8315,2.0231,14.4945,0.214086,84.74,2.0631
4,1,4,7.8098,4.7735,1.8894,14.4727,0.167483,86.65,2.0679
4,1,5,7.7775,4.7212,2.0285,14.5272,0.132184,86.86,2.0719
4,1,6,7.868,4.7472,1.9043,14.5195,0.121069,88.57,2.0665
4,1,7,7.9166,4.6761,1.8995,14.4922,0.094674,88.13,2.0722
4,1,8,7.7629,4.6429,2.0753,14.4811,0.082988,85.04,2.0649
4,1,9,7.6465,4.8616,2.0204,14.5285,0.075772,85.71,2.0699
4,1,10,7.8024,4.7709,1.9775,14.5508,0.065753,90.86,2.0709
