T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,2,1,21.8018,8.864,1.1852,31.851,7.747663,92.67,3.5333
16,2,2,21.5407,8.8994,1.6806,32.1208,4.679749,95.05,3.5377
16,2,3,21.2085,8.8692,2.3109,32.3887,3.824991,96.75,3.5329
16,2,4,21.7942,8.8615,1.2464,31.902,3.29544,97.33,3.5365
16,2,5,21.6363,8.8756,1.5193,32.0313,3.06007,97.88,3.5252
16,2,6,21.3965,8.8529,1.9567,32.206,2.896407,97.73,3.5436
16,2,7,21.8913,8.8614,0.9935,31.7463,2.759857,96.66,3.5429
16,2,8,21.3872,8.8711,1.9834,32.2417,2.684008,93.9,3.5395
16,2,9,21.5794,8.8697,1.5796,32.0287,2.614023,93.35,3.5346
16,2,10,21.6807,8.8716,1.5198,32.0722,2.262776,97.02,3.5481
