T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,1,1,37.2609,17.5281,1.5818,56.3708,13.541073,92.34,5.8368
32,1,2,37.3203,17.5569,1.6295,56.5068,7.182597,93.9,5.8465
32,1,3,37.4612,17.5337,1.1616,56.1565,6.078318,95.77,5.8472
32,1,4,37.4734,17.5433,1.3171,56.3337,5.363459,96.27,5.8496
32,1,5,37.234,17.533,1.59,56.3569,4.700462,96.22,5.8542
32,1,6,37.331,17.5372,1.5685,56.4367,4.144402,97.22,5.8356
32,1,7,37.5372,17.5409,1.1435,56.2217,3.868128,96.97,5.8461
32,1,8,37.537,17.5069,1.1911,56.235,3.590091,97.57,5.8394
32,1,9,37.44,17.4603,1.021,55.9213,3.263926,97.78,5.8403
32,1,10,37.3553,17.416,0.9533,55.7246,3.076789,98.04,5.8458
