T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,2,1,12.0644,7.1335,0.4351,19.6331,4.493346,89.42,2.5446
8,2,2,12.1216,7.1482,0.4,19.6697,2.283325,90.16,2.5454
8,2,3,12.091,7.1452,0.4206,19.6568,0.852438,92.07,2.5427
8,2,4,12.047,7.1185,0.5214,19.6869,0.547945,90.16,2.5578
8,2,5,12.0784,7.1678,0.4062,19.6524,0.425003,89.88,2.5406
8,2,6,12.0904,7.1073,0.4929,19.6905,0.342109,91.35,2.5418
8,2,7,12.0526,7.1307,0.4931,19.6764,0.277947,93.77,2.5536
8,2,8,12.0369,7.1128,0.5091,19.6588,0.23712,89.9,2.5453
8,2,9,12.0666,7.099,0.5468,19.7124,0.193358,93.48,2.5422
8,2,10,12.0877,7.1127,0.4765,19.6768,0.21626,92.6,2.5409
