T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
8,1,1,12.0887,7.0846,0.5048,19.6782,4.128463,90.15,2.5514
8,1,2,12.064,7.1481,0.4555,19.6677,1.376432,94.91,2.5542
8,1,3,12.0731,7.0634,0.5648,19.7013,0.746431,94.57,2.5392
8,1,4,12.0522,7.1139,0.4917,19.6577,0.523235,93.68,2.5414
8,1,5,12.09,7.1349,0.4404,19.6653,0.406096,93.59,2.5705
8,1,6,12.0137,7.1122,0.532,19.6578,0.367908,93.11,2.5371
8,1,7,12.0724,7.1166,0.4966,19.6856,0.293613,94.49,2.5499
8,1,8,12.0454,7.0937,0.5375,19.6766,0.249583,93.25,2.5419
8,1,9,12.0574,7.0974,0.5301,19.6848,0.241674,94.8,2.5404
8,1,10,12.0362,7.1037,0.5135,19.6535,0.220583,93.54,2.5402
