T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
64,2,1,69.5191,35.1292,0.3643,105.0125,22.907686,95.43,10.4391
64,2,2,69.3923,35.0916,0.3625,104.8463,9.998181,95.1,10.4557
64,2,3,69.5054,35.1476,0.3392,104.9922,8.187306,96.14,10.4447
64,2,4,69.4656,35.1558,0.4256,105.0471,7.064369,96.69,10.4386
64,2,5,69.5397,35.1238,0.4054,105.0689,6.473337,94.59,10.432
64,2,6,69.3885,35.16,0.3198,104.8682,5.648143,98.27,10.4297
64,2,7,69.6229,35.1509,0.3518,105.1256,5.242647,96.95,10.4509
64,2,8,69.4516,35.1705,0.5611,105.1831,4.804151,97.6,10.4494
64,2,9,69.4426,35.1362,0.4425,105.0212,4.708614,96.67,10.4509
64,2,10,69.4291,35.1614,0.3956,104.9861,4.324009,95.87,10.4529
