T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
16,3,1,21.207,8.8793,2.3349,32.4212,7.601428,95.85,3.5398
16,3,2,21.2917,8.7524,1.9417,31.9858,4.28442,95.68,3.5375
16,3,3,21.9652,8.8498,0.9168,31.7318,3.569949,95.61,3.5375
16,3,4,21.3859,8.8621,2.0244,32.2724,3.145574,96.31,3.5355
16,3,5,21.8552,8.8749,1.1478,31.878,2.952985,95.58,3.5343
16,3,6,21.3851,8.8661,1.853,32.1042,2.807279,95.14,3.5319
16,3,7,21.4898,8.8676,1.7182,32.0756,2.729533,95.39,3.534
16,3,8,21.476,8.8622,1.8651,32.2033,2.66853,95.89,3.5334
16,3,9,21.6566,8.8675,1.4516,31.9757,2.527823,94.93,3.5382
16,3,10,21.8666,8.8728,1.0269,31.7664,1.947579,96.63,3.5387
