T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
4,2,1,7.9095,4.6309,2.0274,14.5677,1.293008,76.34,2.0739
4,2,2,7.9488,4.6052,2.0169,14.5709,0.366501,86.01,2.0679
4,2,3,7.9221,4.8247,1.802,14.5488,0.2639,81.6,2.0667
4,2,4,7.9158,4.6267,2.0081,14.5505,0.193319,83.99,2.0632
4,2,5,7.9312,4.5458,2.0751,14.5521,0.173311,80.38,2.0713
4,2,6,7.9724,4.7486,1.833,14.554,0.132827,80.86,2.0706
4,2,7,7.6261,4.5384,2.3804,14.5448,0.107419,84.63,2.0758
4,2,8,7.8212,4.7465,1.9964,14.5642,0.100423,83.97,2.0724
4,2,9,7.7055,4.721,2.1018,14.5283,0.079549,88.7,2.0663
4,2,10,7.9645,4.5565,2.0203,14.5413,0.076852,87.1,2.0771
