T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,3,1,37.5219,17.5424,1.2587,56.323,13.461875,94.05,5.8468
32,3,2,37.4289,17.5352,1.2968,56.2608,7.556325,96.27,5.8412
32,3,3,37.6616,17.5254,0.9893,56.1762,6.463657,97.0,5.8319
32,3,4,37.3049,17.5215,1.5098,56.3362,5.741147,93.82,5.8407
32,3,5,37.5336,17.5311,1.2578,56.3225,5.090946,95.66,5.8445
32,3,6,37.6758,17.5287,0.8072,56.0118,4.563746,96.34,5.8506
32,3,7,37.3665,17.5243,1.6057,56.4965,4.122353,96.88,5.8403
32,3,8,37.4588,17.5196,1.2031,56.1814,3.730474,97.91,5.8325
32,3,9,37.6083,17.5358,1.0641,56.2082,3.562478,98.32,5.8303
32,3,10,36.909,17.5318,2.0643,56.5052,3.203028,97.83,5.8246
